,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,City ID
152,hilo,32.3712713539328,-143.832281408636,69.08,73,75,3.36,5855927
153,kitob,39.33334891513627,66.57453000850117,41.0,80,40,4.7,1216187
154,nizhniy kuranakh,60.16138017346316,123.67442489580714,9.31,47,0,5.37,2019135
155,bowmore,56.22950067279902,-7.073967770353818,60.96,82,90,3.36,4486983
156,dakar,14.923610587343873,-19.532626490413804,75.2,94,56,6.93,2253354
157,grindavik,56.634799037419214,-28.21701356667296,39.2,100,0,10.29,3416888
158,mehamn,81.9494844903067,28.279719017899538,29.11,81,48,4.7,778707
160,atar,23.43236442472734,-14.275508162525966,66.1,48,0,2.68,2381334
162,airai,16.661251670842205,149.63633731157717,82.43,71,8,1.01,1651810
164,kutum,17.041353198371795,24.17671493121952,51.2,35,0,8.95,371745
165,lakselv,69.90044115900716,24.256788903129774,32.31,86,68,10.29,779082
166,brigantine,36.99482838593667,-71.03657686918804,56.79,62,1,8.05,4500920
167,illapel,-31.819297339532717,-71.33105656792358,57.1,90,0,2.68,3887344
168,port blair,12.304693910254443,88.20908186690792,85.36,95,76,12.75,1259385
169,christchurch,-49.694324914458456,178.53687654689497,57.2,82,92,27.51,2192362
170,sao filipe,11.176751551355423,-28.437263349297922,76.27,100,0,11.74,3374210
171,hammerfest,73.82451452836645,22.022297397824786,33.8,100,0,5.82,779683
172,pareora,-44.679085317459894,171.42555495075055,64.7,81,92,5.59,2181133
173,kahului,31.1503674812069,-149.42076299513434,79.99,61,40,10.29,5847411
174,kholodnyy,62.700640912743495,147.68507381859473,-15.99,63,56,3.58,2124611
175,buritizeiro,-17.61674571172101,-45.4577520563426,69.88,96,92,3.91,3468720
176,mercedes,-28.54253357913627,-57.54506474794469,64.43,56,12,13.65,3441684
177,tlyustenkhabl,44.99156694659598,39.13176638625674,33.8,89,0,4.47,482582
178,kaitangata,-57.52862206757173,172.9582403102704,50.3,97,92,9.4,2208248
179,deputatskiy,69.6902140385177,141.6246401959637,-14.55,62,64,2.91,2028164
180,jiayuguan,41.51839972902738,98.95386143489083,32.48,47,20,1.34,1280957
181,east london,-54.62695827490136,45.37873444844158,53.6,66,0,6.93,1006984
182,alofi,-22.433831103476365,-170.0235952873164,80.6,74,75,18.34,4036284
183,kruisfontein,-71.09943716189096,27.69521363907546,54.76,85,0,12.3,986717
184,mbanza-ngungu,-6.309663767208036,14.8847304746578,69.38,99,92,2.57,2312888
185,sola,-10.836361997330044,169.5956266735601,53.6,71,90,16.11,3137942
186,quatre cocos,-15.746705105784415,70.42407321892449,73.4,94,40,1.12,1106643
187,victoria,-7.443253455186124,50.93953286451432,87.82,74,75,2.24,1733782
188,acapulco,14.746123195755644,-100.34368313216173,82.4,78,40,3.36,3533462
189,duku,10.76016050523043,10.519712509664515,72.17,84,24,3.02,2344415
190,faanui,-6.448017206297905,-153.8745623049877,81.31,100,100,16.22,4034551
191,yellowknife,84.50270673920284,-110.24770605504354,10.4,85,90,2.24,6185377
193,ahipara,-35.98954162067033,165.46178934323717,68.75,74,36,13.2,2194098
194,buri,-23.625050019424336,-48.600233034666076,60.02,88,92,16.78,3468802
195,mozarlandia,-14.60954755819732,-50.29417727190403,73.75,80,36,8.39,3456642
196,aksay,50.63950531124297,53.11403595000917,30.55,75,0,7.05,583673
197,laguna,-32.57951353862299,-40.42751899318313,67.22,72,0,2.13,4013704
199,tual,-5.017893039035371,133.77139221096456,85.45,99,0,5.7,1623197
200,port hardy,51.76721608825855,-128.12005696507052,35.6,100,20,2.24,6111862
201,xichang,28.79923756487713,101.54144729483437,46.21,65,20,1.57,1789647
202,mayor pablo lagerenza,-20.041562294545585,-60.66314281536806,73.75,89,56,10.63,3867427
203,sikasso,11.646532683299583,-5.450439057744774,74.78,73,48,4.47,2451185
204,akdepe,42.1776956028352,56.944927427028915,28.4,86,92,4.7,601551
205,vestmannaeyjar,57.77547092070557,-20.703287694203766,42.07,98,92,16.55,3412093
207,biltine,15.378994766356314,19.243811514316235,66.68,19,0,13.76,244878
208,groningen,6.138327965761974,-55.50251771651364,50.0,87,48,9.17,2755251
209,mogadishu,-3.100347019063051,48.37178809718566,80.5,98,44,8.61,53654
210,carnarvon,-22.759203601006476,108.42227917774903,34.37,42,0,4.59,1014034
211,serenje,-13.469236235626411,30.311371583394106,77.89,36,100,12.3,898912
212,pisco,-15.853822072240405,-82.34259624319613,64.4,88,0,16.11,3932145
213,popondetta,-8.227852629731856,150.07497045233458,79.55,80,32,1.12,2088163
214,nelson bay,-37.42019349687241,158.22629907776297,66.2,45,64,18.34,2155562
215,tuktoyaktuk,87.60659774348676,-138.0358738342756,5.0,77,75,8.05,6170031
216,faya,21.153343901990667,18.91009741362174,52.72,87,0,2.57,110690
217,benguela,-12.283611702654142,12.451974015702802,76.63,100,64,1.9,3351663
218,tasiilaq,56.94444835292214,-32.39827200156981,35.6,74,92,26.4,3424607
219,kodiak,51.79680776672262,-148.01570526640765,32.0,85,1,6.93,4407665
220,puerto narino,-4.439574497911394,-71.59858072612685,77.0,100,0,2.57,3671387
221,lorengau,1.0011971945853446,144.9065037807635,83.78,100,12,4.81,2092164
222,ulaanbaatar,48.442533154459454,108.21638894102949,24.8,49,40,2.24,2028462
224,cherskiy,85.9857447224868,163.3209451169402,-6.4,73,36,1.9,2126199
225,snyder,32.974405949175846,-101.00068816476161,49.28,92,90,9.17,5530921
