,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,City ID
119,avarua,-59.25988577302262,-164.05254988577963,82.4,78,88,3.36,4035715
120,sambava,-10.59580626338932,53.328909980878564,81.08,100,36,1.7,1056899
122,deloraine,48.641226921942035,-100.48471129010423,12.5,98,88,4.5,5937577
123,hobart,-75.80597243286024,139.57714226916033,57.2,50,75,14.99,2163355
124,cayenne,11.718670560005236,-47.651989722909605,82.4,69,75,12.75,3382160
125,bitung,0.1729778184659665,125.95100165965891,71.6,100,20,10.65,1648636
126,beloha,-26.305848052924254,43.50860592355022,74.69,97,92,7.85,1067565
127,genhe,52.362945527479184,121.42098136339337,-2.94,45,20,3.94,2037252
128,vila velha,-27.699481969353776,-24.900698763865307,84.2,74,40,4.7,6320062
129,port alfred,-69.93663749157552,46.3329517197391,69.25,92,80,10.98,964432
130,hualmay,-14.020854722623099,-82.29771327394609,78.97,66,24,6.96,3939761
131,staffanstorp,55.550907835319975,13.2808963263586,42.8,100,90,9.17,2674649
133,srednekolymsk,70.2845743936015,154.02061419150954,-23.32,69,64,3.04,2121025
134,kirkwall,59.61767022904601,-3.0056954811702496,45.37,76,75,11.41,2645198
135,acapulco,9.34345903179343,-102.47788982216771,82.4,65,5,12.75,3533462
136,ossora,58.73078095586095,162.07321674689467,-11.98,76,0,4.5,2122389
138,arraial do cabo,-41.2221311274119,-30.86030725414915,82.4,78,40,5.82,3471451
141,turukhansk,62.83787717465705,86.38710214172625,7.82,82,76,6.4,1488903
142,bagotville,48.42263694087765,-70.95464651487629,75.16,94,40,11.41,2177254
143,sao filipe,12.827799927911784,-33.38696291939141,70.91,96,0,12.44,3374210
144,ponta do sol,21.572723620019588,-34.72575204379231,78.2,77,32,3.15,3453439
145,cherskiy,87.74319622512076,159.79519305314625,-23.01,68,68,3.38,2126199
146,kruisfontein,-58.89493768845034,26.43316196754739,65.33,89,8,10.09,986717
147,oromocto,45.8694664771173,-66.4546661832539,18.5,34,20,6.93,6094407
148,chokurdakh,70.57809824369329,146.38522583079242,-26.02,40,48,4.16,2126123
149,camocim,-0.04170304863849594,-40.6848225090215,79.6,88,56,6.4,3403687
150,lexington,40.67301009973946,-99.4411393180675,54.68,93,90,11.41,4297983
151,candolim,14.55417280433602,71.35491234228124,73.3,100,0,4.72,1274989
152,gat,26.28601428034824,8.423891137226718,71.6,43,0,18.34,2249901
153,daru,-10.42679211870157,143.75568979130395,83.2,53,76,5.39,2409663
154,faanui,-3.564819646311946,-154.16046973299308,80.36,100,92,12.21,4034551
155,coquimbo,-27.596780856220356,-78.62757535398201,69.8,68,0,16.11,3893629
156,octeville,49.25075505353615,-2.0854008758515477,45.61,93,0,5.82,2989755
157,lillooet,51.2644268023073,-122.32296121399676,32.7,63,75,14.99,6945979
158,pemba,-12.282024085090953,40.60901532287377,75.2,100,75,6.93,1028918
159,pasinler,39.714057929525296,41.88263686823939,-2.21,84,0,3.36,302824
160,craig,40.444133980432326,-108.71357511793177,19.44,57,90,9.19,5576064
161,samarai,-10.236401910162499,153.64439409077215,83.15,98,8,29.33,2132606
162,baie-comeau,49.69502218596992,-68.31537677584167,11.46,51,1,11.41,5889745
163,haines junction,58.46520862855607,-138.3897947388565,9.62,80,56,2.26,5969025
164,cabo san lucas,14.34768622646682,-120.98789132384222,67.35,59,75,11.41,3985710
165,butaritari,7.686288127486819,166.94839005740562,84.1,100,80,20.6,2110227
167,maxixe,-22.3475489802383,34.1398519476451,74.74,100,0,7.96,1039536
168,iqaluit,64.30648918402963,-66.6494278598369,-18.41,68,20,9.17,5983720
169,vao,-29.116741005790367,164.62337797855838,23.48,72,64,17.25,588365
170,joao camara,-5.445574419935582,-35.99807925675958,78.11,89,48,3.94,3397315
171,neryungri,56.881585778874324,124.21671884924552,1.43,63,12,5.95,2019309
172,te anau,-43.596587296028986,166.56635702722525,59.84,92,80,8.41,2181625
173,bluff,-85.11849972603882,162.08583043831015,75.14,45,0,5.61,2175403
174,petropavlovsk-kamchatskiy,48.426045833515474,161.93636743545392,-5.81,70,0,8.95,2122104
175,sidrolandia,-20.933958093636377,-55.38568226234571,86.0,58,40,6.93,3447597
176,isangel,-20.85993670584054,172.0186880548781,80.6,88,75,9.17,2136825
177,isla vista,31.9841382682706,-121.08344297236206,54.59,71,90,12.75,5359864
178,alta floresta,-10.711515753122882,-56.75411249539802,86.0,66,20,3.36,6316343
179,ponnani,9.871198486568346,74.54968727339849,80.6,78,20,6.4,1259411
180,la palma,5.249141421831538,-79.78662792327869,72.4,92,76,2.37,3687505
181,noshiro,41.23107947975316,138.17588176611292,41.62,100,76,17.47,2128867
182,emerald,-23.371625000069656,146.04011594460633,80.6,65,0,8.05,2167426
183,ribeira grande,30.400808576776953,-42.7756343821969,59.0,62,75,12.75,3372707
184,odienne,9.01746822070399,-7.768342376674411,78.38,56,76,6.73,2283016
185,birakan,48.701704901733024,131.80473749564067,1.88,66,0,4.72,2026657
186,lompoc,34.27007466515758,-121.38813097942514,54.27,81,75,17.22,5367788
187,antofagasta,-24.031404574363762,-74.41441928231795,71.6,64,20,14.99,3899539
188,torbay,49.769634389410385,-47.43586283985968,3.2,65,90,28.86,6167817
189,camden,44.1628418300042,-68.98284370650825,30.61,83,90,5.82,4501018
190,bozeman,46.01200595885251,-110.7889335342418,23.56,73,90,3.04,5641727
191,port hedland,-15.67015668261736,117.79916483762247,80.6,83,40,5.82,2063042
192,necochea,-47.43687069366512,-53.94566470517023,77.12,71,0,7.63,3430443
193,gelibolu,40.42211393648142,26.743925358404198,44.6,100,0,2.48,746983
194,oudtshoorn,-33.25256790258977,22.41465542565234,66.2,88,8,3.36,967106
196,jacareacanga,-5.7967326769921215,-58.03539078626166,84.2,83,0,1.12,3397763
